CLASS-NAME,  STUDENTS ID, LAST NAME, FIRST NAME,   ANSWERS, LETTER GRADE,   NUMBER OF CORRECT ANSWERS,   NUMBER OF FALSE ANSWERS, NUMBER OF BLANKS, TOTAL POINTS 
cs-250 , 18082 , ZVHELZ       , SJTVMHJC     , CAACAABCAABACBBABBCBCCBBBCBABAABCBBCACACBBABAAABBACBCCABBBABBCAACABAAABBBBACBAAAABABCAAAACBABCBAABAA, A , 100, 0 , 0 , 170.00
cs-250 , 15210 , CUEQNBQ      , URCNLTQHNT   , BCBCABBBCAABABBBBBBCABCAAAAACABCACAAABBBABCCCABAAAAAAAAABACCCCCABCBACCCAABAACABCABBBAAABACBCABBBACBA, C , 34, 66, 0 , 71.00
cs-250 , 16215 , UIYRV        , PRZOOQZ      , CBCCBCBCCAAABAABACACBBAC ABABCBCCBCBBABCBAABCCCACBBCAACBCACACCBCBCACABCCBACBAABCBB CBCBAABBCCABCBAAA, D , 27, 71, 2 , 61.50
cs-250 , 13999 , KRPLP        , ECSLNOG      , BCBCAAACBBA BAACBAABAABAAACBBCABCABACBAAAACAABCABCACBBCCBBBACACB CCBBA CBCBBCAACCCAABCACBACAAA CABCA, D , 27, 69, 4 , 62.50
cs-250 , 19037 , ECUYWXH      , ILJQKOOXB    , ABABACCAABAABAABAAAAAABBACABBAACBCBBABBAAACBBCBCCBBBBACBCCCBAAABAACACBBAAACCCCACCCBBAAABBBACACBCCCAB, D , 28, 72, 0 , 62.00
cs-250 , 10644 , DIRMSA       , FVNNUIDY     , CBBBAAAACACCCAACAABAABBCBBBBBABBCBBABBBACAACACACBCBAACBBCCABABCCBBAABBCCCCBBAACCBABACBBBBBAA CBCBBBC, D , 29, 70, 1 , 64.00
cs-250 , 15305 , WWKJPOL      , OFBPVI       , ABACABBBCAAAAAACBCBCBBBCABBCABABCABCBBBCABCCCBACCACAABBAAAACBBBACCACCBBACACCCBCAA BAC BBACCACCCBAABB, C , 33, 65, 2 , 70.50
cs-250 , 19690 , UBRIF        , JRZONDSHPYZ  , ACCBACCCCBCCBBAAABCCBBCBBCAC BCAACBCCBCBBCAABAABCCBCAABABBACCCCAACBBBCCAACACACCACACCAABCABBCCAACB CA, D , 29, 69, 2 , 64.50
cs-250 , 10759 , MKYDJJQTGX   , DHXBURWZ     , ABABABACBACCA BACCBCABBBABBCBCBACCABBAABBBBABBCCCBBCACACBACCAAABCACBBBCCCBBAACABABBCCA ACBBBCCCABCAC, C , 31, 67, 2 , 67.50
cs-250 , 18370 , KFAYJZN      , MTPICP       , CCBBAACBAACCACABABCABACCBBAAAAACCABBC BBACCBCAAAAACC BACCBBABCBBCBCAAABBACCCAABBBBBCBCCCAABAABCBBACA, C , 35, 63, 2 , 73.50
cs-250 , 13470 , UJKUQUWAX    , GHVQTXG      , BAACACCBBAB CAAABCACCACAACACBBACBBAABCBCACBABBCCACABCBBABABCBBBBBBCCACCBACBBAAACCAC CBAABAABACBBABAC, C , 32, 66, 2 , 69.00
cs-250 , 12552 , RJNEIZK      , QUBTQZ       , BABBAABBCACABBBABCACBCBABABABCACABBBCABBBBCCCBCCBCABBABBCACBCBAACBACCAABCABBCCCBBBBAACACBCBCBACBCACA, C , 36, 64, 0 , 74.00
cs-250 , 13392 , BJABJHP      , BPCSEXF      , ABAAABCABBCABCBBBBBACBCAABBBBCBCCABAAABAAACACBBAAABCAACAABAAACCBCBBBBCCAABBBAAAACBBBABAACAACBCBAAACA, C , 32, 68, 0 , 68.00
cs-250 , 15461 , YNIVKWXMK    , ABQIHDWMH    , BAABABCACA CBABBACCCCBAABCBBCAACCCBCCCCCAA CABAABACCACBBCBCBBAACAACBBCAC BBCABBBAABCACBCCBABCCAACCAB, C , 35, 62, 3 , 74.00
cs-250 , 13182 , JOJPSSFJ     , CQZWETAU     , CBBBAAACCABCBBBBBBABCACABABCCAACCCABCCABBAAACCBBAAABCCACACACBABACAABCAACBACCBCACCBAACBBCBABCCCAACBCC, A , 44, 56, 0 , 86.00
cs-250 , 12601 , CMVOODLA     , YTRHSPA      , ABBBBBCBBBBCCAACBCCBA ABBCCCCBBCCBAAABBCBACCBBBBCBBBCCBBACBB BCBBCACABCBBCA CACBACCABABBCACAAACCCAAC, D , 28, 69, 3 , 63.50
cs-250 , 12016 , HGJZRAH      , YZIXUIR      , AAAABBAACACABCBAABABAABCABBCABCACBACCABBCBBABBCCCAC CBACBCCACBBBCBAABCAAABBCCACACBBBBABCACACABCBCBBB, C , 31, 68, 1 , 67.00
cs-250 , 18544 , LFMJEQW      , VWLQNHM      , BCCAACACCAACAABBAABCBBCAABACBBBCBABABCCBBBCACBAAABBCACCBCACBBACBBCABBBAACBCCCCCCACABBBABACBAACBBAAAC, D , 28, 72, 0 , 62.00
cs-250 , 12561 , BXHMJZHI     , FMUNWD       ,  CCBAAACCBABBCBBCABBCABBBBCBACBCCAACCBBACABCBBCBCABBBACBCAABABAABCBCCCACCBABCCCABBCAAAAABACBCAABBABB, D , 27, 72, 1 , 61.00
cs-250 , 12333 , NBYTJYL      , KJVPVT       , BBCBAAAABAACBAABBBAAAAACAABBCABCCACBBCCCBCCCAAACCCCBABBCBCBCACBACCCBBBABCBBBACACABAABCABACCACBBCCBCC, C , 32, 68, 0 , 68.00
cs-250 , 11153 , QEMLBNZ      , MTIFGNUUJ    , BCAAACCBCACBCBAABBABACCABBABABBABBABCAABBBAAABCBABCCBACCCCCCBBBCBAABACABAABCABCCABBACCBACCCAAAACABCA, C , 33, 67, 0 , 69.50
cs-250 , 12478 , YKIRZRESJU   , RWTNVYL      , BAABAABACACCBBACBCACAAAAACCACC CCBBCABBBACBCBBBCCABAC CACCBABACABBCAAAAAACACBBAAAAABACCABABACCBBCCCA, B , 36, 62, 2 , 75.00
cs-250 , 17277 , RRZJIDTDK    , LMFSXROR     , BBAABBCBBBABABBBCBBBCBCAABBBAACCBCBBACBACCAACABBAACBABCABABABBBBAAAACCBAACAABCAABABAABBBCABABBACBCBA, C , 30, 70, 0 , 65.00
cs-250 , 17631 , IPSJA        , ZVCFMWZ      , ABBABBABABAABC ABCAABCCBBBCCAAACBCCCBBBBBAABABAACACABACBBCBCACAACB ABCCABBACACBCBABCACCBBBACCBABBCAB, D , 29, 69, 2 , 64.50
cs-250 , 17003 , UYJKFKGE     , QIGYBXENVJFY , CAAABABCAAAAABACCCACACACACBBCCCCCABBAACAACBBBBAABBBBABABBCACBBCCABCAABCCCBCCACCAABCAACCCABCBCABCAACC, C , 35, 65, 0 , 72.50
cs-250 , 12222 , OJNPROOB     , SWPVJX       , CABBACAABBBBCBACBAABACBBBACACCCCAABCCCCAAC AABAAABACA B BBB BCBAABBAAACCBCABBAAACBBAABBCBBCBABCBCBCC, C , 35, 61, 4 , 74.50
cs-250 , 19644 , EWFZCREMQ    , XJGYEBOHWW   , CCBBAACCABCBBCACACCB BCBBBACCAAACBBACCABCCAAACBCCCCACACAAAACBAACACACACAABACACAAACACCAACACACCCCBCCBCC, C , 33, 66, 1 , 70.00
cs-250 , 10351 , HMIYAMKQTO   , JWGSWCIU     , CCCBACCCBBC ACBCABCAAABB CACCACAAACCCBABBACCAACCCBCACAACACBBCCCAAABCBAACAABACAAACABABBACCABABCCBCABB, C , 32, 66, 2 , 69.00
cs-250 , 15056 , VFHGBT       , IIBYUMMHW    , BBCBBABAABABACABAAAAACCCBABAACAACABABBBCBCABAACBACCCCBBBABAAACCCBBACBABBAB BCBACBABABACCCBCACABBCCAB, C , 32, 67, 1 , 68.50
cs-250 , 16849 , QENLZ        , HOSJJAZWQ    , AACCABCBCBAACCAAAACBBBCAAAABAABABCCABBBBACBBCAAAABBCAABABCABBACABABCBABBCCBABBCBBAAC BCBCBBBCCBAACBB, D , 29, 70, 1 , 64.00
